x,time,time
55000,0.353,0.323
55100,0.354,0.324
55200,0.356,0.326
55300,0.356,0.327
55400,0.357,0.327
55500,0.358,0.328
55600,0.358,0.328
55700,0.359,0.329
55800,0.36,0.33
55900,0.361,0.33
56000,0.362,0.332
56100,0.363,0.334
56200,0.363,0.334
56300,0.364,0.335
56400,0.365,0.336
56500,0.365,0.336
56600,0.366,0.337
56700,0.367,0.338
56800,0.368,0.339
56900,0.369,0.34
57000,0.37,0.341
57100,0.371,0.342
57200,0.371,0.343
57300,0.372,0.343
57400,0.373,0.344
57500,0.376,0.344
57600,0.377,0.346
57700,0.378,0.347
57800,0.379,0.348
57900,0.38,0.349
58000,0.381,0.349
58100,0.382,0.35
58200,0.383,0.35
58300,0.384,0.352
58400,0.385,0.353
58500,0.385,0.353
58600,0.386,0.355
58700,0.387,0.355
58800,0.388,0.356
58900,0.389,0.357
59000,0.391,0.357
59100,0.392,0.358
59200,0.392,0.359
59300,0.393,0.36
59400,0.394,0.361
59500,0.396,0.362
59600,0.397,0.363
59700,0.398,0.363
59800,0.398,0.364
59900,0.399,0.365
60000,0.4,0.366
60100,0.401,0.367
60200,0.402,0.368
60300,0.403,0.369
60400,0.404,0.37
60500,0.405,0.371
60600,0.406,0.371
60700,0.406,0.372
60800,0.407,0.373
60900,0.408,0.375
61000,0.409,0.376
61100,0.411,0.377
61200,0.412,0.377
61300,0.413,0.378
61400,0.414,0.379
61500,0.415,0.379
61600,0.416,0.381
61700,0.417,0.381
61800,0.418,0.382
61900,0.419,0.383
62000,0.42,0.384
62100,0.42,0.385
62200,0.438,0.385
62300,0.439,0.386
62400,0.44,0.387
62500,0.453,0.388
62600,0.455,0.389
62700,0.46,0.39
62800,0.46,0.391
62900,0.461,0.391
63000,0.462,0.392
63100,0.462,0.393
63200,0.464,0.394
63300,0.465,0.396
63400,0.466,0.397
63500,0.467,0.398
63600,0.468,0.399
63700,0.468,0.399
63800,0.469,0.401
63900,0.47,0.402
64000,0.471,0.403
64100,0.472,0.404
64200,0.473,0.405
64300,0.475,0.405
64400,0.476,0.406
64500,0.477,0.408
64600,0.478,0.409
64700,0.48,0.41
64800,0.482,0.41
64900,0.484,0.411
65000,0.485,0.412
65100,0.486,0.412
65200,0.488,0.413
65300,0.489,0.414
65400,0.49,0.415
65500,0.491,0.416
65600,0.492,0.417
65700,0.493,0.418
65800,0.493,0.419
65900,0.494,0.419
66000,0.495,0.42
66100,0.496,0.422
66200,0.497,0.423
66300,0.499,0.424
66400,0.5,0.425
66500,0.501,0.425
66600,0.502,0.426
66700,0.502,0.427
66800,0.503,0.429
66900,0.504,0.43
67000,0.504,0.431
67100,0.506,0.432
67200,0.507,0.433
67300,0.509,0.433
67400,0.51,0.434
67500,0.51,0.436
67600,0.511,0.438
67700,0.513,0.439
67800,0.514,0.44
67900,0.515,0.44
68000,0.516,0.441
68100,0.516,0.443
68200,0.517,0.445
68300,0.518,0.445
68400,0.519,0.446
68500,0.522,0.447
68600,0.523,0.448
68700,0.524,0.448
68800,0.524,0.45
68900,0.525,0.451
69000,0.527,0.452
69100,0.528,0.453
69200,0.529,0.453
69300,0.53,0.454
69400,0.531,0.455
69500,0.532,0.456
69600,0.534,0.458
69700,0.535,0.459
69800,0.537,0.46
69900,0.537,0.461
70000,0.538,0.462
70100,0.539,0.464
70200,0.54,0.465
70300,0.542,0.466
70400,0.544,0.467
70500,0.544,0.468
70600,0.545,0.469
70700,0.546,0.471
70800,0.548,0.472
70900,0.549,0.473
71000,0.55,0.474
71100,0.551,0.475
71200,0.551,0.475
71300,0.552,0.477
71400,0.553,0.479
71500,0.554,0.48
71600,0.555,0.481
71700,0.557,0.482
71800,0.558,0.483
71900,0.558,0.484
72000,0.559,0.485
72100,0.56,0.487
72200,0.562,0.488
72300,0.564,0.488
72400,0.565,0.49
72500,0.565,0.492
72600,0.566,0.493
72700,0.567,0.494
72800,0.569,0.495
72900,0.57,0.496
73000,0.57,0.497
73100,0.571,0.498
73200,0.572,0.499
73300,0.573,0.5
73400,0.574,0.501
73500,0.575,0.502
73600,0.576,0.503
73700,0.578,0.504
73800,0.579,0.505
73900,0.579,0.507
74000,0.58,0.508
74100,0.581,0.509
74200,0.582,0.509
74300,0.583,0.51
74400,0.584,0.511
74500,0.585,0.512
74600,0.585,0.514
74700,0.586,0.515
74800,0.587,0.516
74900,0.589,0.517
75000,0.59,0.517
75100,0.591,0.519
75200,0.593,0.52
75300,0.594,0.521
75400,0.595,0.522
75500,0.596,0.523
75600,0.597,0.524
75700,0.598,0.525
75800,0.6,0.527
75900,0.601,0.528
76000,0.603,0.529
76100,0.605,0.53
76200,0.606,0.531
76300,0.607,0.532
76400,0.609,0.534
76500,0.61,0.535
76600,0.612,0.537
76700,0.613,0.538
76800,0.614,0.54
76900,0.615,0.541
77000,0.616,0.542
77100,0.618,0.543
77200,0.619,0.544
77300,0.62,0.545
77400,0.621,0.547
77500,0.622,0.549
77600,0.623,0.551
77700,0.624,0.551
77800,0.626,0.552
77900,0.627,0.554
78000,0.628,0.555
78100,0.63,0.556
78200,0.632,0.557
78300,0.633,0.558
78400,0.634,0.579
78500,0.635,0.592
78600,0.637,0.594
78700,0.638,0.595
78800,0.64,0.596
78900,0.641,0.597
79000,0.642,0.598
79100,0.643,0.599
79200,0.645,0.6
79300,0.646,0.6
79400,0.647,0.601
79500,0.649,0.603
79600,0.65,0.604
79700,0.651,0.605
79800,0.652,0.607
79900,0.653,0.607
80000,0.655,0.608
80100,0.656,0.609
80200,0.658,0.61
80300,0.659,0.611
80400,0.66,0.612
80500,0.661,0.614
80600,0.663,0.616
80700,0.663,0.617
80800,0.665,0.619
80900,0.666,0.62
81000,0.667,0.622
81100,0.668,0.623
81200,0.669,0.624
81300,0.67,0.625
81400,0.671,0.626
81500,0.672,0.627
81600,0.674,0.628
81700,0.675,0.629
81800,0.676,0.631
81900,0.677,0.632
82000,0.678,0.633
82100,0.679,0.634
82200,0.681,0.635
82300,0.682,0.637
82400,0.684,0.639
82500,0.685,0.64
82600,0.686,0.641
82700,0.689,0.642
82800,0.69,0.643
82900,0.691,0.644
83000,0.692,0.645
83100,0.694,0.646
83200,0.695,0.647
83300,0.696,0.648
83400,0.697,0.649
83500,0.698,0.649
83600,0.699,0.651
83700,0.7,0.652
83800,0.702,0.653
83900,0.704,0.655
84000,0.704,0.656
84100,0.705,0.657
84200,0.707,0.658
84300,0.708,0.659
84400,0.709,0.66
84500,0.71,0.661
84600,0.711,0.662
84700,0.712,0.664
84800,0.714,0.664
84900,0.716,0.666
85000,0.717,0.667
85100,0.717,0.668
85200,0.718,0.669
85300,0.719,0.67
85400,0.72,0.671
85500,0.723,0.672
85600,0.724,0.673
85700,0.725,0.674
85800,0.726,0.675
85900,0.726,0.676
86000,0.728,0.677
86100,0.73,0.678
86200,0.732,0.68
86300,0.733,0.681
86400,0.733,0.682
86500,0.735,0.683
86600,0.736,0.684
86700,0.738,0.686
86800,0.738,0.687
86900,0.739,0.689
87000,0.74,0.689
87100,0.742,0.69
87200,0.744,0.691
87300,0.745,0.693
87400,0.746,0.694
87500,0.747,0.695
87600,0.748,0.696
87700,0.749,0.697
87800,0.751,0.698
87900,0.752,0.7
88000,0.753,0.701
88100,0.754,0.702
88200,0.756,0.704
88300,0.757,0.704
88400,0.758,0.705
88500,0.759,0.707
88600,0.76,0.709
88700,0.761,0.71
88800,0.762,0.711
88900,0.764,0.711
89000,0.765,0.713
89100,0.767,0.715
89200,0.767,0.717
89300,0.769,0.718
89400,0.77,0.719
89500,0.772,0.721
89600,0.773,0.723
89700,0.774,0.724
89800,0.775,0.725
89900,0.777,0.726
90000,0.778,0.727
90100,0.779,0.729
90200,0.78,0.73
90300,0.781,0.731
90400,0.782,0.732
90500,0.784,0.733
90600,0.786,0.735
90700,0.787,0.736
90800,0.788,0.738
90900,0.789,0.739
91000,0.791,0.74
91100,0.793,0.742
91200,0.794,0.743
91300,0.795,0.744
91400,0.796,0.745
91500,0.797,0.746
91600,0.799,0.747
91700,0.8,0.748
91800,0.801,0.75
91900,0.802,0.751
92000,0.803,0.752
92100,0.804,0.753
92200,0.807,0.754
92300,0.808,0.756
92400,0.809,0.757
92500,0.81,0.758
92600,0.812,0.759
92700,0.814,0.76
92800,0.815,0.761
92900,0.816,0.763
93000,0.817,0.764
93100,0.819,0.765
93200,0.821,0.766
93300,0.822,0.767
93400,0.823,0.768
93500,0.824,0.77
93600,0.826,0.771
93700,0.828,0.773
93800,0.829,0.774
93900,0.83,0.774
94000,0.831,0.776
94100,0.833,0.777
94200,0.834,0.779
94300,0.835,0.78
94400,0.836,0.78
94500,0.837,0.781
94600,0.838,0.783
94700,0.84,0.785
94800,0.841,0.786
94900,0.843,0.788
95000,0.844,0.789
95100,0.845,0.79
95200,0.847,0.792
95300,0.849,0.793
95400,0.85,0.794
95500,0.851,0.795
95600,0.853,0.797
95700,0.854,0.799
95800,0.856,0.8
95900,0.856,0.801
96000,0.858,0.802
96100,0.859,0.803
96200,0.86,0.805
96300,0.862,0.806
96400,0.864,0.807
96500,0.865,0.808
96600,0.866,0.809
96700,0.868,0.811
96800,0.87,0.813
96900,0.871,0.814
97000,0.872,0.815
97100,0.873,0.816
97200,0.875,0.818
97300,0.876,0.82
97400,0.877,0.822
97500,0.878,0.823
97600,0.879,0.824
97700,0.881,0.826
97800,0.883,0.827
97900,0.885,0.828
98000,0.886,0.829
98100,0.887,0.83
98200,0.89,0.832
98300,0.891,0.833
98400,0.892,0.834
98500,0.894,0.835
98600,0.895,0.836
98700,0.897,0.838
98800,0.898,0.839
98900,0.899,0.84
99000,0.9,0.841
99100,0.901,0.842
99200,0.902,0.843
99300,0.904,0.844
99400,0.905,0.846
99500,0.906,0.848
99600,0.907,0.849
99700,0.909,0.85
99800,0.911,0.851
99900,0.912,0.853
100000,0.913,0.854
